iter	Passed	Remaining
0	48	48873
1	49	24693
2	50	16643
3	50	12599
4	51	10181
5	51	8572
6	52	7414
7	52	6552
8	53	5878
9	53	5337
10	54	4895
11	54	4527
12	55	4215
13	56	3948
14	56	3718
15	57	3516
16	57	3339
17	58	3180
18	58	3040
19	59	2909
20	59	2793
21	60	2691
22	61	2597
23	61	2508
24	62	2425
25	62	2351
26	63	2282
27	64	2224
28	64	2164
29	65	2118
30	66	2063
31	66	2013
32	67	1969
33	67	1925
34	68	1882
35	68	1840
36	69	1798
37	69	1761
38	70	1726
39	70	1693
40	71	1662
41	71	1633
42	72	1606
43	72	1579
44	73	1552
45	73	1530
46	74	1507
47	74	1484
48	75	1463
49	76	1451
50	76	1431
51	77	1412
52	78	1394
53	78	1375
54	79	1358
55	79	1342
56	80	1328
57	80	1313
58	81	1297
59	81	1282
60	82	1267
61	82	1253
62	83	1239
63	83	1224
64	84	1211
65	84	1198
66	85	1187
67	85	1175
68	86	1164
69	86	1153
70	87	1142
71	87	1132
72	88	1122
73	88	1111
74	89	1102
75	89	1092
76	90	1083
77	90	1075
78	91	1068
79	92	1060
80	92	1051
81	93	1043
82	93	1035
83	94	1029
84	94	1022
85	95	1015
86	96	1007
87	96	1000
88	97	993
89	97	986
90	98	980
91	98	973
92	99	967
93	99	961
94	100	955
95	100	948
96	101	942
97	101	936
98	102	931
99	102	922
100	103	917
101	103	912
102	104	906
103	104	901
104	105	896
105	105	891
106	105	884
107	106	879
108	107	874
109	107	871
110	108	866
111	108	862
112	109	857
113	109	853
114	110	848
115	110	844
116	111	840
117	111	836
118	112	832
119	113	828
120	113	825
121	114	820
122	114	815
123	114	809
124	115	805
125	115	801
126	115	796
127	116	792
128	116	788
129	117	784
130	117	780
131	118	776
132	118	772
133	118	768
134	119	764
135	119	760
136	120	756
137	120	752
138	120	748
139	121	745
140	121	741
141	122	739
142	122	735
143	123	731
144	123	728
145	123	725
146	124	721
147	124	718
148	125	715
149	125	711
150	126	708
151	126	704
152	126	701
153	127	698
154	127	695
155	127	692
156	128	689
157	128	686
158	129	683
159	129	680
160	129	677
161	130	674
162	130	671
163	131	668
164	131	666
165	132	663
166	132	660
167	132	658
168	133	655
169	133	652
170	134	650
171	134	647
172	134	645
173	135	642
174	135	639
175	136	637
176	136	635
177	137	633
178	137	630
179	137	628
180	138	625
181	138	623
182	139	621
183	139	618
184	139	616
185	140	614
186	140	612
187	141	610
188	141	608
189	142	606
190	142	603
191	143	601
192	143	599
193	143	597
194	144	595
195	144	593
196	145	591
197	145	589
198	145	587
199	146	585
200	146	583
201	147	581
202	147	579
203	147	577
204	148	575
205	148	573
206	149	571
207	149	569
208	149	567
209	150	565
210	150	563
211	151	562
212	151	560
213	152	559
214	152	557
215	153	555
216	153	553
217	153	551
218	154	550
219	154	548
220	155	546
221	155	545
222	155	543
223	156	541
224	156	539
225	157	538
226	157	536
227	157	534
228	158	533
229	158	531
230	159	529
231	159	528
232	160	526
233	160	525
234	160	523
235	161	522
236	161	521
