iter	Passed	Remaining
0	50	50578
1	51	25903
2	53	17876
3	55	13835
4	57	11357
5	58	9674
6	59	8447
7	60	7482
8	61	6774
9	69	6918
10	70	6358
11	71	5892
12	72	5508
13	73	5170
14	74	4878
15	75	4641
16	76	4430
17	77	4234
18	78	4053
19	79	3887
20	80	3735
21	81	3601
22	81	3476
23	82	3362
24	83	3261
25	84	3166
26	85	3075
27	86	2992
28	87	2914
29	87	2842
30	88	2773
31	89	2716
32	91	2672
33	92	2616
34	92	2561
35	93	2509
36	96	2499
37	96	2452
38	97	2407
39	98	2365
40	99	2324
41	100	2286
42	101	2249
43	101	2215
44	102	2181
45	103	2148
46	104	2119
47	105	2101
48	106	2074
49	107	2048
50	108	2021
51	109	1995
52	110	1969
53	111	1947
54	114	1966
55	115	1943
56	116	1920
57	116	1899
58	118	1883
59	119	1865
60	120	1855
61	121	1836
62	122	1823
63	123	1805
64	124	1787
65	125	1774
66	126	1760
67	127	1744
68	128	1728
69	128	1712
70	129	1699
71	130	1685
72	131	1672
73	132	1661
74	133	1648
75	135	1647
76	136	1634
77	137	1625
78	138	1613
79	139	1600
80	140	1589
81	141	1580
82	141	1564
83	142	1553
84	143	1543
85	146	1556
86	150	1575
87	153	1590
88	155	1590
89	160	1623
90	161	1612
91	163	1615
92	164	1608
93	166	1601
94	174	1658
95	177	1673
96	180	1684
97	183	1693
98	185	1686
99	187	1691
100	188	1680
101	189	1670
102	190	1660
103	191	1650
104	193	1645
105	193	1635
106	194	1625
107	199	1651
108	201	1646
109	202	1639
110	203	1632
111	210	1665
112	211	1658
113	212	1654
114	221	1705
115	232	1772
116	235	1780
117	236	1769
118	238	1767
119	239	1758
120	242	1759
121	244	1762
122	245	1752
123	246	1743
124	247	1733
125	253	1756
126	257	1773
127	259	1769
128	261	1765
129	262	1759
130	264	1752
131	265	1748
132	267	1744
133	271	1752
134	272	1748
135	274	1741
136	275	1732
137	275	1723
138	277	1720
139	280	1720
140	281	1714
141	283	1714
142	301	1808
143	302	1801
144	304	1794
145	305	1785
146	310	1800
147	314	1809
148	315	1800
149	316	1791
150	317	1782
151	318	1778
152	319	1768
153	320	1761
154	321	1754
155	325	1760
156	326	1753
157	328	1751
158	330	1746
159	331	1737
160	333	1738
161	335	1734
162	336	1726
163	337	1718
164	340	1724
165	341	1715
166	342	1707
167	343	1699
168	343	1691
169	344	1683
170	345	1676
171	346	1669
172	350	1673
173	353	1678
174	354	1670
175	355	1663
176	357	1663
177	361	1668
178	363	1665
179	364	1658
180	364	1650
181	369	1659
182	370	1651
183	370	1644
184	371	1636
185	373	1634
186	375	1631
187	380	1643
188	382	1639
189	383	1637
190	386	1638
191	387	1632
192	388	1624
193	389	1617
194	390	1613
195	394	1619
196	395	1612
197	396	1606
198	397	1599
199	398	1592
200	399	1588
201	400	1581
202	401	1575
203	401	1568
204	402	1561
205	403	1555
206	404	1548
207	406	1547
208	407	1540
209	407	1534
210	408	1528
211	409	1521
212	410	1515
213	411	1510
214	411	1504
215	413	1499
216	414	1496
217	415	1490
218	416	1484
219	417	1478
220	418	1474
221	419	1468
222	419	1462
223	420	1456
224	421	1450
225	421	1445
226	422	1439
227	425	1440
228	426	1435
229	427	1430
230	428	1424
231	428	1419
232	429	1415
233	430	1409
234	431	1403
235	431	1398
236	432	1392
237	433	1387
238	433	1381
239	434	1376
240	435	1371
241	436	1366
242	436	1361
243	437	1355
244	438	1350
245	438	1345
246	439	1339
247	440	1334
248	440	1329
249	442	1326
250	442	1321
251	443	1316
252	444	1311
253	444	1306
254	445	1302
255	446	1298
256	447	1294
257	448	1289
258	449	1285
259	449	1280
260	450	1275
261	451	1271
262	452	1266
263	452	1262
264	453	1258
265	454	1253
266	455	1249
267	455	1244
268	456	1241
269	457	1236
270	458	1232
271	460	1231
272	460	1227
273	461	1223
274	462	1218
275	462	1214
276	463	1210
277	464	1206
278	465	1203
279	466	1199
280	467	1195
281	467	1191
282	468	1187
283	469	1182
284	469	1178
285	470	1175
286	471	1171
287	472	1167
288	472	1163
289	473	1159
290	475	1157
291	475	1153
292	476	1149
293	477	1147
294	478	1143
295	479	1140
296	480	1136
297	480	1132
298	481	1128
299	482	1125
300	483	1122
301	484	1119
302	486	1120
303	487	1116
304	488	1112
305	490	1111
306	491	1108
307	495	1114
308	496	1110
309	497	1107
310	498	1104
311	499	1101
312	501	1101
313	502	1098
314	506	1101
315	508	1100
316	510	1099
317	511	1097
318	513	1096
319	515	1094
320	516	1093
321	519	1094
322	522	1095
323	524	1094
324	526	1093
325	528	1091
326	529	1089
327	531	1088
328	532	1086
329	534	1085
330	536	1084
331	538	1083
332	539	1080
333	540	1077
334	543	1078
335	545	1077
336	546	1074
337	549	1076
338	551	1075
339	553	1073
340	554	1072
341	557	1072
342	558	1070
343	561	1070
344	563	1070
345	564	1067
346	568	1069
347	569	1067
348	570	1064
349	571	1061
350	572	1058
351	573	1055
352	574	1052
353	575	1049
354	575	1046
355	576	1043
356	577	1040
357	579	1038
358	580	1035
359	580	1032
360	581	1029
361	582	1026
362	583	1023
363	584	1021
364	585	1018
365	586	1016
366	587	1013
367	590	1013
368	592	1013
369	595	1014
370	596	1011
371	597	1008
372	598	1006
373	601	1006
374	603	1005
375	604	1003
376	606	1002
377	609	1002
378	609	999
379	610	996
380	614	998
381	615	995
382	616	992
383	616	989
384	617	986
385	621	988
386	622	986
387	623	983
388	624	980
389	625	978
390	626	975
391	627	973
392	628	971
393	630	969
394	632	968
395	633	967
396	636	966
397	638	965
398	640	964
399	641	962
400	643	961
401	644	959
402	646	957
403	647	955
404	649	953
405	651	952
406	654	952
407	656	952
408	658	951
409	660	949
410	661	948
411	663	946
412	664	944
413	665	942
414	668	942
415	669	939
416	670	936
417	670	934
418	671	931
419	675	932
420	676	929
421	677	927
422	677	924
423	678	922
424	681	921
425	682	919
426	682	916
427	683	913
428	684	911
429	685	909
430	686	906
431	687	903
432	688	900
433	693	904
434	694	902
435	695	899
436	699	900
437	700	899
438	701	896
439	702	893
440	703	891
441	703	888
442	704	886
443	705	883
444	706	880
445	706	877
446	707	875
447	708	872
448	708	869
449	709	867
450	710	864
451	711	862
452	712	859
453	714	858
454	714	856
455	715	854
456	716	851
457	717	848
458	718	846
459	718	843
460	719	841
461	720	838
462	721	836
463	721	833
464	722	831
465	723	828
466	724	826
467	724	824
468	725	821
469	726	819
470	727	817
471	728	814
472	730	813
473	731	811
474	732	810
475	734	808
476	735	806
477	736	804
478	738	802
479	739	801
480	740	799
481	742	797
482	743	795
483	745	794
484	747	793
485	748	791
486	749	789
487	749	786
488	750	784
489	752	783
490	753	781
491	754	778
492	754	776
493	755	773
494	756	771
495	759	771
496	761	770
497	761	767
498	764	767
499	765	765
500	769	766
501	770	764
502	771	762
503	773	760
504	779	763
505	781	762
506	783	761
507	783	759
508	784	756
509	785	754
510	786	752
511	786	749
512	787	747
513	794	751
514	795	749
515	796	747
516	797	744
517	800	744
518	801	743
519	803	742
520	805	740
521	807	739
522	808	737
523	811	736
524	811	734
525	812	732
526	816	732
527	817	730
528	817	728
529	821	728
530	822	726
531	825	725
532	826	724
533	827	721
534	830	721
535	832	720
536	833	718
537	834	716
538	835	714
539	836	712
540	836	709
541	842	711
542	844	711
543	845	708
544	848	708
545	849	706
546	851	705
547	852	703
548	853	700
549	857	701
550	858	699
551	860	698
552	861	696
553	863	695
554	864	693
